TransDateTime	Symbol	Quantity	BuySell	FillPrice	OpenClose	HighDuringPosition	LowDuringPosition
2023-08-14 09:35:00	MESU3	1	buy	444800	open	445500	444600
2023-08-14 10:50:00	MESU3	1	sell	445400	close	445600	444900
2023-08-14 13:15:00	MESU3	1	sell	445900	open	446200	445100
2023-08-14 14:45:00	MESU3	1	buy	445200	close	445800	444900
2023-08-15 09:40:00	MESU3	2	sell	446300	open	446800	445700
2023-08-15 11:05:00	MESU3	2	buy	445900	close	446000	445200
2023-08-15 13:25:00	MESU3	1	buy	445500	open	446100	445000
2023-08-15 15:10:00	MESU3	1	sell	446200	close	446500	445200
2023-08-16 09:32:00	MESU3	1	buy	446400	open	447200	446000
2023-08-16 10:55:00	MESU3	1	sell	447000	close	447400	446100
2023-08-16 13:05:00	MESU3	1	sell	447300	open	447800	446500
2023-08-16 14:35:00	MESU3	1	buy	446600	close	447200	446100
2023-08-17 09:20:00	MESU3	1	buy	446100	open	446900	445500
2023-08-17 10:40:00	MESU3	1	sell	446800	close	447000	445800
2023-08-17 13:10:00	MESU3	1	sell	446500	open	446900	445900
2023-08-17 14:50:00	MESU3	1	buy	445700	close	446300	445400
2023-08-18 09:25:00	MESU3	2	buy	445800	open	446400	445200
2023-08-18 11:10:00	MESU3	2	sell	446500	close	446700	445600
2023-08-18 13:45:00	MESU3	1	sell	446300	open	446600	445500
2023-08-18 15:20:00	MESU3	1	buy	445900	close	446100	445400
2023-08-21 09:30:00	MESZ3	1	buy	446200	open	447000	445900
2023-08-21 10:55:00	MESZ3	1	sell	446900	close	447200	446100
2023-08-21 13:05:00	MESZ3	1	sell	447100	open	447600	446500
2023-08-21 14:40:00	MESZ3	1	buy	446400	close	446900	445800
2023-08-22 09:28:00	MESZ3	1	buy	446800	open	447500	446200
2023-08-22 10:50:00	MESZ3	1	sell	447400	close	447700	446500
2023-08-22 13:20:00	MESZ3	1	sell	447600	open	448100	446900
2023-08-22 15:05:00	MESZ3	1	buy	446900	close	447400	446300
